nohup: ignoring input
Configuring device: MAX78000, simulate=False.
[10:04:42] === FAST POSE TRAINING ===
[10:04:42] CPU Cores: 20, Compute threads: 16, Data workers: 8
[10:04:42] Subset: 15000, Batch: 8, Save every: 100
[10:04:49] Dataset: 15000 samples, 1875 batches per epoch
[10:04:53] Student params: 659,136
[10:04:57] Teacher loaded
[10:04:57] 
[10:04:57] === RESUMING TRAINING ===
[10:04:57] Loading checkpoint from pose_med2_train/latest.pth...
[10:04:57] Resumed from batch 800, best loss: 10.0679
[10:04:57] Continuing training from batch 800...
[14:08:51] Batch 1220/15000 | Loss: 14.5061 | Student: 38.1330 | Distill: 4.3803 | Time: 35.5s | ETA: 135.9h
[14:14:47] Batch 1230/15000 | Loss: 14.2520 | Student: 36.9433 | Distill: 4.5272 | Time: 35.6s | ETA: 136.3h
[14:20:47] Batch 1240/15000 | Loss: 15.4738 | Student: 37.8029 | Distill: 5.9042 | Time: 35.9s | ETA: 137.3h
[14:26:43] Batch 1250/15000 | Loss: 16.1435 | Student: 40.6225 | Distill: 5.6525 | Time: 35.6s | ETA: 135.9h
[14:32:40] Batch 1260/15000 | Loss: 15.8317 | Student: 40.0317 | Distill: 5.4603 | Time: 35.7s | ETA: 136.4h
[14:38:37] Batch 1270/15000 | Loss: 15.2725 | Student: 38.6403 | Distill: 5.2577 | Time: 35.7s | ETA: 136.2h
[14:44:35] Batch 1280/15000 | Loss: 15.2473 | Student: 38.8091 | Distill: 5.1494 | Time: 35.8s | ETA: 136.4h
[14:50:31] Batch 1290/15000 | Loss: 14.8718 | Student: 37.9142 | Distill: 4.9965 | Time: 35.6s | ETA: 135.5h
[14:56:29] Batch 1300/15000 | Loss: 14.7449 | Student: 37.4580 | Distill: 5.0106 | Time: 35.8s | ETA: 136.4h
[14:56:30]   Saved checkpoint at batch 1300
[15:02:29] Batch 1310/15000 | Loss: 14.2595 | Student: 37.7317 | Distill: 4.2000 | Time: 36.0s | ETA: 136.9h
[15:08:27] Batch 1320/15000 | Loss: 14.7199 | Student: 36.3432 | Distill: 5.4528 | Time: 35.7s | ETA: 135.7h
[15:14:21] Batch 1330/15000 | Loss: 15.4457 | Student: 38.0414 | Distill: 5.7619 | Time: 35.5s | ETA: 134.6h
[15:20:18] Batch 1340/15000 | Loss: 15.3082 | Student: 38.1132 | Distill: 5.5347 | Time: 35.7s | ETA: 135.4h
[15:26:14] Batch 1350/15000 | Loss: 14.0528 | Student: 36.3774 | Distill: 4.4851 | Time: 35.6s | ETA: 135.0h
[15:32:10] Batch 1360/15000 | Loss: 15.4110 | Student: 37.5736 | Distill: 5.9127 | Time: 35.6s | ETA: 134.8h
[15:38:07] Batch 1370/15000 | Loss: 13.5514 | Student: 33.3044 | Distill: 5.0859 | Time: 35.7s | ETA: 135.1h
[15:44:02] Batch 1380/15000 | Loss: 14.7060 | Student: 38.4532 | Distill: 4.5286 | Time: 35.5s | ETA: 134.4h
[15:49:58] Batch 1390/15000 | Loss: 14.2663 | Student: 36.8326 | Distill: 4.5950 | Time: 35.6s | ETA: 134.5h
[15:55:55] Batch 1400/15000 | Loss: 14.8652 | Student: 37.7024 | Distill: 5.0779 | Time: 35.6s | ETA: 134.6h
[15:55:55]   *** Saved BEST at batch 1400 ***
[16:01:50] Batch 1410/15000 | Loss: 14.4397 | Student: 37.3025 | Distill: 4.6414 | Time: 35.5s | ETA: 134.0h
[16:07:44] Batch 1420/15000 | Loss: 14.4714 | Student: 35.2493 | Distill: 5.5666 | Time: 35.4s | ETA: 133.6h
[16:13:39] Batch 1430/15000 | Loss: 13.5131 | Student: 35.9449 | Distill: 3.8995 | Time: 35.5s | ETA: 133.7h
[16:19:34] Batch 1440/15000 | Loss: 15.2276 | Student: 38.3577 | Distill: 5.3147 | Time: 35.5s | ETA: 133.7h
[16:25:31] Batch 1450/15000 | Loss: 16.4776 | Student: 39.2710 | Distill: 6.7090 | Time: 35.7s | ETA: 134.4h
[16:31:26] Batch 1460/15000 | Loss: 16.3644 | Student: 41.4798 | Distill: 5.6007 | Time: 35.5s | ETA: 133.5h
[16:37:24] Batch 1470/15000 | Loss: 16.8823 | Student: 40.5196 | Distill: 6.7521 | Time: 35.8s | ETA: 134.5h
[16:43:18] Batch 1480/15000 | Loss: 14.9503 | Student: 37.5740 | Distill: 5.2545 | Time: 35.4s | ETA: 132.9h
[16:49:12] Batch 1490/15000 | Loss: 14.7110 | Student: 37.6515 | Distill: 4.8793 | Time: 35.4s | ETA: 133.0h
[16:55:08] Batch 1500/15000 | Loss: 15.4021 | Student: 38.8914 | Distill: 5.3352 | Time: 35.6s | ETA: 133.4h
[16:55:08]   Saved checkpoint at batch 1500
[17:01:03] Batch 1510/15000 | Loss: 15.9650 | Student: 41.3855 | Distill: 5.0704 | Time: 35.5s | ETA: 133.2h
[17:07:01] Batch 1520/15000 | Loss: 13.3418 | Student: 34.4152 | Distill: 4.3104 | Time: 35.8s | ETA: 134.0h
