[17:50:17] === FAST POSE TRAINING ===
[17:50:17] CPU Cores: 20, Compute threads: 16, Data workers: 8
[17:50:17] Subset: 15000, Batch: 8, Save every: 100
[17:50:22] Dataset: 15000 samples, 1875 batches per epoch
[17:50:26] Student params: 659,136
[17:50:26] Teacher loaded
[17:50:30] Starting training from batch 0...
[19:48:56] Batch 260/15000 | Loss: 15.5268 | Student: 36.8232 | Distill: 6.3997 | Time: 30.7s | ETA: 125.5h
[19:55:54] Batch 270/15000 | Loss: 17.3267 | Student: 40.9696 | Distill: 7.1941 | Time: 41.8s | ETA: 171.0h
[20:02:09] Batch 280/15000 | Loss: 15.2135 | Student: 36.8681 | Distill: 5.9330 | Time: 37.4s | ETA: 153.0h
[20:08:21] Batch 290/15000 | Loss: 16.2520 | Student: 39.4699 | Distill: 6.3014 | Time: 37.3s | ETA: 152.4h
[20:15:07] Batch 300/15000 | Loss: 17.2769 | Student: 41.7110 | Distill: 6.8051 | Time: 40.6s | ETA: 165.7h
[20:15:07]   Saved checkpoint at batch 300
[20:21:13] Batch 310/15000 | Loss: 16.5368 | Student: 39.2418 | Distill: 6.8060 | Time: 36.5s | ETA: 149.1h
[20:27:34] Batch 320/15000 | Loss: 15.9939 | Student: 39.4171 | Distill: 5.9554 | Time: 38.1s | ETA: 155.3h
[20:33:49] Batch 330/15000 | Loss: 16.6906 | Student: 40.6450 | Distill: 6.4245 | Time: 37.5s | ETA: 152.8h
[20:40:11] Batch 340/15000 | Loss: 14.7724 | Student: 36.3164 | Distill: 5.5392 | Time: 38.2s | ETA: 155.6h
[20:46:45] Batch 350/15000 | Loss: 16.1250 | Student: 39.6206 | Distill: 6.0554 | Time: 39.4s | ETA: 160.3h
[20:53:06] Batch 360/15000 | Loss: 16.1700 | Student: 40.1377 | Distill: 5.8982 | Time: 38.1s | ETA: 155.0h
[20:59:23] Batch 370/15000 | Loss: 15.1423 | Student: 37.4379 | Distill: 5.5871 | Time: 37.7s | ETA: 153.4h
[21:05:38] Batch 380/15000 | Loss: 16.1526 | Student: 40.2079 | Distill: 5.8432 | Time: 37.5s | ETA: 152.3h
[21:12:11] Batch 390/15000 | Loss: 16.5780 | Student: 41.8441 | Distill: 5.7497 | Time: 39.3s | ETA: 159.3h
[21:18:28] Batch 400/15000 | Loss: 16.7322 | Student: 41.8622 | Distill: 5.9622 | Time: 37.7s | ETA: 152.8h
[21:18:28]   Saved checkpoint at batch 400
[21:24:52] Batch 410/15000 | Loss: 15.1676 | Student: 37.1961 | Distill: 5.7269 | Time: 38.4s | ETA: 155.8h
[21:31:13] Batch 420/15000 | Loss: 14.3404 | Student: 35.3567 | Distill: 5.3334 | Time: 38.1s | ETA: 154.3h
[21:37:36] Batch 430/15000 | Loss: 14.4544 | Student: 37.0367 | Distill: 4.7763 | Time: 38.3s | ETA: 154.9h
[21:43:50] Batch 440/15000 | Loss: 15.5040 | Student: 37.9955 | Distill: 5.8648 | Time: 37.4s | ETA: 151.3h
[21:50:14] Batch 450/15000 | Loss: 16.4464 | Student: 42.0806 | Distill: 5.4603 | Time: 38.4s | ETA: 155.0h
[21:56:34] Batch 460/15000 | Loss: 16.2451 | Student: 39.0048 | Distill: 6.4910 | Time: 38.1s | ETA: 153.7h
[22:02:51] Batch 470/15000 | Loss: 16.7870 | Student: 41.0319 | Distill: 6.3963 | Time: 37.7s | ETA: 152.0h
[22:09:53] Batch 480/15000 | Loss: 15.2682 | Student: 38.0410 | Distill: 5.5085 | Time: 42.2s | ETA: 170.1h
